調査番号,分類,学校への確認事項,回答方式,添付を求める資料,判定,問題がある場合のリスク,教育委員会が取るべき措置,根拠資料ID,備考
Q01,入会,PTA会員として扱っている全保護者について入会申込記録が存在するか,あり／なし／一部のみ／形式のみ,入会申込書様式・記入例・管理方法の説明,なし又は形式のみの場合は要是正,会員資格・会費請求・役員選出・総会議決権の根拠が崩れる,入会申込記録が確認できない保護者の会員扱いを停止し改めて任意加入手続を行う,L001・L010・L011,最重要項目
Q02,入会,入会申込書が学校書類と一体化せずPTA名義で作成されているか,はい／いいえ／要確認,加入案内・入会申込書一式,いいえの場合は要是正,学校手続との誤認により任意性が損なわれる,学校書類とPTA書類を分離しPTA名義で任意加入を説明する,L001・L010・L011・L012,
Q03,入会,入会同意・名簿提供同意・会費徴収同意が別個の意思表示として分かれているか,分離済み／一体化／要確認,入会申込書・同意書・口座振替依頼書,一体化の場合は要是正,保護者が何に同意したか不明確になり自由な同意が疑われる,入会・名簿提供・会費徴収を別項目として説明し同意を分ける,L001・L007・L008・L010・P001,
Q04,入会,入会前に役員希望調査・委員希望調査・免除申請を配布又は回収していないか,していない／している／要確認,役員希望調査票・免除申請書・年度当初配布資料,している場合は要是正,加入前提の心理的圧迫が生じる,役員希望調査等は加入確認後の会員だけに限定する,L001・L010・L012,
Q05,入会,PTAに加入しないことにより児童生徒又は保護者に不利益を生じさせないことを明示しているか,明示あり／明示なし／要確認,加入案内・FAQ・説明会資料,明示なしの場合は要是正,非加入選択が事実上困難になる,加入案内に非加入不利益なしを明記する,L010・L011・L012,
Q06,役員選出,入会申込記録が確認できない保護者を役員選出対象にしていないか,していない／している／要確認,役員選出規定・抽選名簿作成方法の説明,している場合は要是正,強制加入・強制役務の疑いが生じる,役員選出対象を加入確認済み会員に限定する,L001・L002,
Q07,役員選出,くじ引き・抽選・免除審査を学校施設内又は学校行事直後に実施していないか,していない／している／要確認,役員選出案内・実施日時・会場資料,している場合は要是正,学校行事との混同により任意加入性が損なわれる,入会意思確認後にPTA主催手続として分離実施する,L003・L018・M001・L010・L012,
Q08,会費徴収,PTA会費を学校徴収金と同一通知・同一口座・同一引落しで処理していないか,分離済み／混在／要確認,徴収通知・口座振替依頼書・会計処理説明,混在の場合は要是正,学校に支払うべき費用との誤認が生じる,PTA会費を学校徴収金から分離しPTA名義で徴収する,L001・L010・L017・M002,
Q09,会費徴収,入会申込記録が確認できない保護者からPTA会費を徴収していないか,していない／している／要確認,会員管理方法・会費請求対象の抽出方法,している場合は要是正,会費請求の根拠を欠き返還請求等のリスクがある,加入確認ができない者への請求・徴収を停止する,L001,
Q10,会費徴収,学校職員がPTA会費の徴収・督促・会計処理・名簿管理を行っていないか,行っていない／行っている／要確認,事務分掌・会計処理手順・職員作業内容,行っている場合は要是正,職務専念義務・利益供与・事務負担未請求の問題が生じる,PTA会費事務をPTAに移管し学校関与を連絡調整に限定する,L015・M002,
Q11,会費徴収,PTA会費事務を学校が担っている場合に事務負担分の費用負担又は委託関係を文書化しているか,文書あり／文書なし／該当なし／要確認,委託契約・協定書・費用負担資料,文書なしの場合は要精査,公的労務の無償提供・利益供与的問題が生じ得る,学校がPTA本来事務を担う運用を見直し必要な分離又は費用整理を行う,L015・L017・M002,
Q12,個人情報,学校名簿をPTAの会員管理・役員選出・会費徴収に利用していないか,利用なし／利用あり／要確認,名簿提供記録・利用目的説明・同意書様式,利用ありの場合は要精査,目的外利用・第三者提供の問題が生じる,学校保有個人情報とPTA会員情報を分離する,L006・L008・P001,
Q13,個人情報,PTAへの個人情報提供について利用目的・提供範囲・本人同意・管理責任を説明しているか,説明あり／説明なし／形式のみ,同意書・個人情報取扱説明・提供記録,説明なし又は形式のみの場合は要是正,自由な同意が認められないおそれがある,入会同意と名簿提供同意を分けて説明する,L007・L008・L009・P001,
Q14,個人情報,同意しない保護者又は非会員の情報を削除又はマスキングする方法を定めているか,定めあり／定めなし／要確認,削除・マスキング手順・名簿項目・アクセス権限,定めなしの場合は要是正,不同意者情報がPTAに提供される危険がある,不同意者情報を除外できない場合は学校名簿提供を行わない,L008・L009・P001,
